content,cleaned_text,score,sentiment
"Semenjak update baru baru ini, sering terjadinya frame dan drop fps, dan saran untuk hero2nya dibuat karakter yg lebih seram lagi, jgn modelan manusia aja. Dan untuk semuanya udah bagus 👍",semenjak update frame drop fps saran hero karakter seram jgn model manusia aja udah bagus,4,positive
"Sistem untuk pemain solo kurang menyenangkan, sering bertemu dengan tim yang berkemampuan rendah, dan kemampuan tim musuh yang sangat terbalik, tolong segera diperbaiki, glory point 670 ketemu sama legend 3",sistem main solo senang temu tim mampu rendah mampu tim musuh balik tolong baik glory point ketemu legend,5,positive
"Udah update tapi malah rusak, pemilihan lawan tidak seimbang apalagi masalah jaringan yang sudah lama tidak pernah teratasi. Mohon moonton update yang benar banyak player yang kecewa akan hal ini. Cuma 2 masalah di game ini pemilihan lawan yang tidak seimbang dengan masalah jaringan. Mohon diperbaiki 🙏",udah update rusak pilih lawan imbang jaring atas mohon moonton update player kecewa game pilih lawan imbang jaring mohon baik,2,negative
"Gimana si ini setelah update jdi susah mo login,, koneksi eror terus, pdahal buat yg lainya lancar,, makin ga jelas ni game,, udah semakin berat, rating jadi semakin menurun,, tolong diperbaiki lah dari pihak montoon soal jaringan dan seiver, jangan skin mulu yg di update",gimana update jdi susah login koneksi eror pdahal lai lancar game udah berat rating turun tolong baik montoon jaring seiver skin mulu update,2,negative
"Game nya bagus grafik nya hero nya banyak skin nya juga banyak emote yg menarik dan berbagai bentuk senjata di hero main nya juga ga susah susah dan ga gampang gampang bngt tapi ada satu kesalahan moonton , monnton tolong perbaiki lagi sinyal nya kasian yg hp nya sinyal nya jelek trs player nya juga sering membully teman setim dan sering di remeh kan itu yg membuat bermain jadi tidak focus dan tidak nyaman , dan untuk musuh nya moonton mohon jangan yg terlalu susah susah banget susah ngepush ny",game nya bagus grafik nya hero nya skin nya emote tarik bentuk senjata hero main nya susah susah gampang gampang bngt salah moonton monnton tolong baik sinyal nya kasi nya sinyal nya jelek trs player nya membully teman tim remeh main focus nyaman musuh nya moonton mohon susah susah banget susah ngepush,4,positive
"Game buruk, system matchmaking game paling buruk yg pernah ada, penyeimbangan tim tidak setara. Setelah win 1x selanjutnya pasti lose 2x atau lebih, stuck dan terus berputar"" seperti itu. Jika tidak ada perbaikan mengenai penyeimbangan matchmaking, game ini akan menjadi game moba dengan matchmaking terburuk yang pernah ada.",game buruk system matchmaking game buruk imbang tim tara win lose stuck putar baik imbang matchmaking game game moba matchmaking buruk,1,negative
"Tiap Log in Pasti Ada saat dimana selalu Recconecting Di Tampilan, update pembaharuan saat ini. Sehingga mau tidak mau harus On Mode Pesawat lalu hidupkan data kembali. Sedangkan Tes Menggunakan Aplikasi Lain Scroll dan Nonton Normal dan Lancar.",log mana recconecting tampil update baharu mode pesawat hidup data tes aplikasi scroll nonton normal lancar,1,negative
Untuk kali ini saya memberikan bintang satu di karena di dalam game terjadi banyak bug salah satunya terjadi lag padahal jaringan bagus dan ping dalam game berwarna hijau tetapi di dalam mact ataupun pertandingan terjadi lag saya harap masalah itu bisa di perbaiki,kali bintang game bug salah satu lag jaring bagus ping game warna hijau mact tanding lag harap baik,1,negative
"Oy kenapa habis update malah frameratenya sering drop? Ini masalah bug atau emg servernya ga stabil? Jaringan udah bagus pake wifi super cepat. Kenapa malah in game fps sering drop apalagi pas war. Ini kendalanya terjadi sehari setelah update patch baru, tolong di perbaiki yg perlu diperbaiki ya developer.",habis update frameratenya drop bug emg servernya stabil jaring udah bagus pake wifi super cepat game fps drop pas war kendala hari update patch tolong baik baik developer,1,negative
"Ini game kenapa lagi sih,selalu update,lama lama makin berat ram nya,jaringan nya buruk,udah pake wifi dan data seluler,tetap aja ngelag,makin ke sini bosan main klo jaringannya hancur gin,in game jadi afk padahal ga bisa gerak karna ping nya merah kuning tiba tiba....parah parah uninstall juga nih",game sihselalu updatelama berat ram nyajaringan nya burukudah pake wifi data selulertetap aja ngelagmakin bosan main klo jaring hancur gin game afk gerak karna ping nya merah kuning tibaparah parah uninstall nih,2,negative
"Dari semua game yang pernah kumainkan ini game menempati urutan pertama masalah jaringan terburuk, dan sangat tidak stabil. Bahkan game fps seperti codm ping stabil di 40 dan meskipun ping jump ke 70 hanya ada sedikit delay dan tidak terlalu terasa l, bahkan saat di ping 80 aku tidak merasakan satu pun masalah dan sering tidak sadar jika tidak melihat ping yang ada di angka 80. Juga terdapat banyak bug, seperti: saat jaringan down game nya terus menerus loading untuk menghubungkan keserver",game main game tempat urut jaring buruk stabil game fps codm ping stabil ping jump delay ping rasa sadar ping angka bug jaring down game nya terus loading hubung keserver,1,negative
"Yang menjadi kendala saat saya memainkan game ini adalah sistem matchmaking, season kemarin dan season ini sangat sulit mendapatkan tim yang bisa main, menang hanya 10 kali tetapi kalahnya sampai 5 kali. Sangat sulit untuk yang sering solo player lebih banyak kalah daripada menangnya. Matchmaking sangat beda dengan season season sebelumnya, semakin kemari sistem matchmakingnya semakin buruk",kendala main game sistem matchmaking season kemarin season sulit tim main menang kali kalah kali sulit solo player kalah menang matchmaking beda season season kemari sistem matchmakingnya buruk,2,negative
"Penurunan bintang adalah suatu bukti penurunan kualitas pengalaman bermain saya,jadi untuk moonton perlu ada beberapa perbaikan lagi pada kualitas jaringan server anda,saya bermain sudah dari 2017 sampai sekarang,ada beberapa keluhan saya disini tentang jaringan yang berubah-ubah seperti ping naik turun kaya ingus wkwkwkwkwk,tolong ya moonton segera diperbaiki 🙏😂",turun bintang bukti turun kualitas alam main sayajadi moonton baik kualitas jaring server andasaya main sekarangada keluh jaring berubahubah ping turun kaya ingus wkwkwkwkwktolong moonton baik,4,positive
hallo saya ingin berkoentar kembali dengan rating bintang 4 sebenarnya sudah bagus teruntuk gamenya tetapi mengapa setiap update pasti akan ada kendala seperti leg atau framdrop?? bahkan sampai ngefrezz tdk bisa bergerak sama sekali jka ada update selanjutnya dimohon di uji coba dengan benar jika seperti ini trs maka rating game tidak akan naik dengan pesat.,hallo berkoentar rating bintang bagus untuk gamenya update kendala leg framdrop ngefrezz tdk gerak jka update mohon uji coba trs rating game pesat,4,positive
"Tolong kembalikan lagi performa moblie legend lagi semulalah. Saat sinyal tidak jumpang jumping gak jelas banget, sesuaikan tim sendiri vs tim lawan dah, dan tolong lagi lawan yang seimbang, dan tidak dipersulit, juga data jangan terlalu besar, hape ram 2 dan ram 3 mengkis-mengkis (alias sesak) : DAMMM",tolong kembali performa moblie legend mula sinyal jumpang jumping gak banget sesuai tim tim lawan dah tolong lawan imbang sulit data hape ram ram mengkismengkis alias sesak dammm,4,positive
"Game ini bagus banget cepetan ayo downlod bagus loh, tapi tolong untuk developernya agar bug jaringannya diperbaiki lagi soalnya pas main classic jarigannya lancar tapi paa main rank ping tiba² naik dan itu membuat kami tidak nyaman karena bug itu saya kasih bintang 4 dulu ya kalau sudah diperbaiki saya pasti akan kasih bintang 5 sekali lagi minta tolong ya untuk developor game nya... terima kasih",game bagus banget cepetan ayo downlod bagus loh tolong developer bug jaring baik pas main classic jarigannya lancar paa main rank ping nyaman bug kasih bintang baik kasih bintang tolong developor game nya terima kasih,4,positive
"Game nya jelek banget, sering lag saat war padahal jaringan nya bagus tapi pas main game ini langsung lag + merah dan patah-patahh. Dan jangan update terusssssss nanti bagaimana nasib HP yang ram 2,3,4 . Bila perlu tidak usah merilis project next .",game nya jelek banget lag war jaring nya bagus pas main game langsung lag merah patahpatahh update terusssssss nasib ram rilis project next,1,negative
"Assalamu'alaikum dear monton, di sini saya mau bilang beberapa hal yg ke 1.Tolong hilangkan dark sistem, walau gak di hilangkan setidak nya buatlah tim seimbang 2.Tolong kenapa sinyal nya suka berubah-ubah padahal udah pake wifi paling cepat tapi kok masih berubah-ubah 3.Tolong penyimpanan nya di kecil kan, karena saya udah 2 kali ganti handphone karena tidak bisa bermain ml dan penyimpanan nya semakin bertambah 4.Tolong kenapa ya ml saya suka kehapus sendiri data nya, dan harus download ulang",assalamualaikum dear monton bilang tolong hilang dark sistem gak hilang tidak nya buat tim imbang tolong sinyal nya suka berubahubah udah pake wifi cepat berubahubah tolong simpan nya udah kali ganti handphone main simpan nya tambah tolong suka hapus data nya download ulang,3,neutral
"Menurut saya ini game moba yang paling bagus sih soal nya kalian dapat berkomunikasi dengan tim untuk menemukan ritme bermain kalian yang cocok, kalo masalah fitur dan grafik sih gak usah di ragukan lagi hehe, soal hero,maps,skin hero nya gak usah di raguin lagi keren"".",game moba bagus sih nya komunikasi tim temu ritme main cocok kalo fitur grafik sih gak ragu hehe heromapsskin hero nya gak raguin keren,5,positive
"Dear Moonton, Kenapa pada saat update sekarang ini sering sekali terjadi bug sinyal, padahal sinyal kami bagus akan tetapi pada saat di dalam game malah terjadi penurunan ping sinyal, dan itu sangat membuat kami tidak nyaman pada saat memainkan gamenya, tolong secepatnya di perbaiki/fix agar kami mendapatkan pengalaman terbaik pada game ini.",dear moonton update bug sinyal sinyal bagus game turun ping sinyal nyaman main gamenya tolong cepat perbaikifix alam baik game,2,negative
"Seimbangin match making nya dong, dapat tim nya sama yang tidak sepadan dengan diri kita sendiri, seperti perbedaan rank atau kemampuan nya, pokoknya match making harus jauh lebih seimbang dan juga dapet musuh nya yang setara dong. Dapat tim kaya eek musuh nya dah setara pro player apa coba",seimbangin match making nya tim nya padan beda rank mampu nya pokok match making imbang dapet musuh nya tara tim kaya eek musuh nya dah tara pro player coba,3,neutral
"Tolong semakin update semakin kacau semua nya berantakan, mengapa setiap saya bermain suka ada saja masalah jaringan, padahal saya mahal mahal beli wifi yang singal cepet buat agar tidak ada masalah jaringan tapi masih tetap saja, tolong untuk kedepannya perbaiki lagi.",tolong update kacau nya beranta main suka jaring mahal mahal beli wifi singal cepet jaring tolong depan baik,2,negative
"Dulu sebelum update enak enak aja,sekarang sering bug,ngeframe,sinyal langsung hilang.kadang pada posisi war malah sinyal langsung hilang padahal sinyal bagus.tolong lebih diperbaiki lagi lah,biar yang main juga nggak jenuh.",update enak enak ajasekarang bugngeframesinyal langsung hilangkadang posisi war sinyal langsung hilang sinyal bagustolong baik lahbiar main nggak jenuh,2,negative
"1.Terlalu banyak bug 2. Update nya terlalu mendahulukan event,daripada sinyal padahal eventnya tu..itu itu saja setiap tahun 3.dark system meresahkan, merugikan pemain lain bahkan saya sendiri. 4.speed modenya gak terlalu berfungsi, sama aja kayak gak speed mode. 5. Untuk sinyal sama seperti no2, lagnya terlalu berlebihan, saat main lagnya tidak berhenti sampai karakter tidak bergerak, bahkan diberi peringatan"" anda tidak aktif 2 menit maka akan diberi sanksi"". Semoga bisa diperbaiki🙏",bug update nya dahulu eventdaripada sinyal eventnya tuitu dark system resah rugi main speed mode gak fungsi aja kayak gak speed mode sinyal lagnya main lagnya henti karakter gerak ingat aktif menit sanksi moga baik,4,positive
"Banyak hal yg harus diperbaiki dalam game ini, seperti yg aku alami saat ini, kadang tombol tak bisa digunakan saat mau maju kadang tombol menyerang bermasalah mau gerak sendiri. Memang game ini mengasyikkan tapi banyak masalah apa lagi mengenai lag/bug sungguh sangat mengganggu saat permainan sengit. Kadang mau keluar sendiri tanpa dikeluarkan, begitu saya masuk lagi eehh malah dapat hukuman afk. Sungguh mengecewakan dalam hal ini.. Tolong diralat kembali dengan teliti pihak moonton dgn teliti",baik game alami kadang tombol maju kadang tombol serang masalah gerak game asyik lagbug sungguh ganggu main sengit kadang keluar masuk eehh hukum afk sungguh kecewa tolong ralat teliti moonton dgn teliti,3,neutral
"Kasi tim yang bner lah, masa kena dark system mulu, yg bener aja. ngasi tim buta map pula. Tim selalu tidak jelas! Terkadang padahal bener bener jaringan bagus, sayang nya ini kenapa sih lag mulu, gajelas bgt Also, jangan terlalu kenain dark system mulu lah, player ml jg jadi bosen main kalo kalah mulu, Aku tau kalo Mlbb benar benar game yang seru bagi saya namun juga tidak juga, ya karena itu tdi. Ini hanya sekadar ulasan saya ttg tim. Terimakasih.",kasi tim bner kena dark system mulu bener aja ngasi tim buta map tim terkadang bener bener jaring bagus sayang nya sih lag mulu gajelas bgt also kenain dark system mulu player bosen main kalo kalah mulu tau kalo mlbb game seru tdi ulas ttg tim terimakasih,2,negative
"Gamenya oke, udah bagus, dari segi grafik, dll nya udah oke semua cumaan saya kasih bintang 2 karena, tadi saya main ranked kan, tim saya sudah ban estes, tapi waktu giliran musuh ngepick kok musuhnya bisa ambil estes?? Ini kenapa?? Bug kah? Atau musuhnya yang memakai cheat? Jujur itu sangat merugikan, dikarenakan tim saya jadi kesusahan di team fight, dan berujung kekalahan. Mohon untuk segera dibenahi ya moonton, demi kenyamaan player juga kan.",gamenya oke udah bagus segi grafik dll nya udah oke cuma kasih bintang main ranked tim ban estes gilir musuh ngepick musuh ambil estes bug kah musuh pakai cheat jujur rugi tim susah team fight ujung kalah mohon benah moonton kenyamaan player,2,negative
Untuk keseluruhan sudah bagus tapi nih masalahnya 1. Terlalu banyak bug 2. Machtmaking tak sesuai 3. Perkara jaringan/sinyal yang suka tiba2 lag ketika war 4. Update yang terlalu berat untuk beberapa device 5. TOLONG HAPUS DARK SYSTEM MOONTON! Sekian Dari Saya TerimaKasih :),bagus nih bug machtmaking sesuai perkara jaringansinyal suka lag war update berat device tolong hapus dark system moonton sekian terimakasih,3,neutral
"Player MLBB sedang tidak baik, banyak yang menggunakan cheat. Permainan yang tidak berimbang, durasinya cooldown yang sangat singkat, kebanyakan tim saya noob/troll tiap momen pertandingan. Menimbulkan rasa malas memainkannya. Tolong Moonton atasi masalah ini. Jika tidak, saya segera menghapusnya untukku. Setelah keadaan baik, rating bintang akan saya pulihkan ke bintang 5",player mlbb cheat main imbang durasi cooldown singkat banyak tim noobtroll momen tanding timbul malas main tolong moonton atas hapus untuk rating bintang pulih bintang,4,positive
Parah gak bisa masuk ke game sekalinya bisa gak bisa dimainkan tolong di fix bugnya. Kenapa ya setiap ngetik selalu dianggap kata kasar ama sistem padahal cuma bilang (G punya gatot).,parah gak masuk game sekali gak main tolong fix bugnya ngetik anggap kasar ama sistem bilang gatot,3,neutral
Gimana mau maju . Memori yg di gunakan sampe 4gb . Katanya update biar bisa memiliki pengalaman bermain yg nyaman . Nyata nya itu hanya untuk yg punya gadget yg maewah dan canggih . Buat kaum HP kentang lag tidak teratasi padahal udah setingan smooth . Perubahan yang sangat mengecewakan .,gimana maju memori sampe update biar milik alam main nyaman nyata nya gadget maewah canggih kaum kentang lag atas udah ting smooth ubah kecewa,5,positive
"Untuk kesekian kali nya tetap Masalah nya selalu ngelaaaaag, saya pribadi sudah menggunakan perangkat yang mumpuni , sinyal amat sangat bagus, akan tetapi masih saja ngelag , saya sudah nyoba bermacam cara , jangan cuma mikirin masalah skin baru atau upgrade even saja , fikirin juga persoalan ngelag , kasih team tak sesuai , tidak seimbang , tolong di tanggapi.",sekian kali nya nya ngelaaaaag pribadi perangkat mumpuni sinyal bagus ngelag nyoba mikirin skin upgrade even fikirin ngelag kasih team sesuai imbang tolong tanggap,1,negative
"Tolong untuk perangkat infinix note 30, setelah draft pick hero, tiba"" Loading screen nya nge blank, tidak muncul apa"", saya jadi afk terus dan kena hukuman, tolong bug nya diperbaiki moonton.",tolong perangkat infinix note draft pick hero loading screen nya nge blank muncul afk kena hukum tolong bug nya baik moonton,3,neutral
"Signal Bagus tidak ada gendala... Namun ketika memasuki match kira2 menit 10 ... Signal jumping , gak bisa gerak... Padahal sudah pakai mode / fitur rendah. Giliran relog, masuk lagi ke match di kata AFK... Kata temen, HP ku kentang, jangkrik... Masa HP ram 6 GB harus ganti ... Terlalu !!!",signal bagus gendala pasuk match menit signal jumping gak gerak pakai mode fitur rendah gilir relog masuk match afk temen kentang jangkrik ram ganti,3,neutral
Masalahnya adalah: 1.banyak bug 2.sinyal tiba² lag 3.kadang kadang tim dikasih noob tapi musuhnya op banget kayak udh pernah main bareng dari lama Udh itu doang yang harus diperbaiki.semuanya udh bagus hanya kurang itu saja. Terima kasih,bug sinyal lag kadang kadang tim kasih noob musuh banget kayak udh main bareng udh doang diperbaikisemuanya udh bagus terima kasih,3,neutral
"Sinyalnya sangat aneh sekali padahal double jaringan wifi+seluler. Sangat tidak stabil, sering merah sendiri tanpa alasan yang jelas. Bhkan ini Mlbb update jaringan terburuk. Katanya sudah di fixs. Tapi blm ada perubahan. Sangat tidak nyaman sekali. Padahal double jaringan dan spek hp sangat mendukung. Cukup kecewa dengan jaringan. Kalau masalah tim cukup adil kok. Cuma jaringan nya sangat parah. Turnamen agustusan pun jadi tidak maksimal performa nya. Agustus ini sangatlah buruk untuk jaringan",sinyal aneh double jaring wifiseluler stabil merah alas bhkan mlbb update jaring buruk fixs blm ubah nyaman double jaring spek dukung kecewa jaring tim adil jaring nya parah turnamen agustus maksimal performa nya agustus buruk jaring,1,negative
"Tolong maksimalkan keseimbangan matcmaking, dan kestabilan jaringan, Sinyal wifi bagus tapi ketika bermain lag lag, dan ping merah, tolong di perbaiki dong moonton jika sudah di perbaiki akan ku kasih bintang lima, untuk sementara aku kasih bintang 2",tolong maksimal imbang matcmaking stabil jaring sinyal wifi bagus main lag lag ping merah tolong baik moonton baik kasih bintang kasih bintang,2,negative
"Moonton.. saya mohon minta perbaiki lagi, saya setiap login suka berulang ulang,apalagi login layar biru tunggu sampai 100% pun itu percuma dan akhirnya saya tak bisa masuk kedalam game, kalo saya hapus saya jadinya gak ada game favorit. Saya mohoon banget! Terimakasih 🙏🏻",moonton mohon baik login suka ulang ulangapalagi login layar biru tunggu masuk dalam game kalo hapus gak game favorit mohoon banget terimakasih,3,neutral
"Tolong kembalikam performan dahulu Mobile Legend ketimbang yg sekarang semakin di update fluktuasi jaringan semakin ping merah dam kami para penggemar MLBB sering melakukan pelanggaran yg berar seperti afk,feed atau performa kurang bagus dalam pertandingan. Dan juga kredit skore nya tolonglah jangan sampai diturunkan sejauh mungkin sehingga kami bisa bermain kembali di mode ranked. Beserta data2 nya semakin besar dan menyebabkan hp mengalami gangguan jaringan",tolong kembalikam forman mobile legend ketimbang update fluktuasi jaring ping merah dam gemar mlbb langgar berar afkfeed performa bagus tanding kredit skore nya tolong turun main mode ranked serta data nya sebab alami ganggu jaring,3,neutral
"Makin hari makin aneh nih game, udah sistem matchmakingnya gajelas, ngasih tim ga seimbang, banyak bugnya juga, ditambah jaringan yang sering lag. Pliss lah montoon perbaiki semuanya, terutama sistem jaringan, matchmaking, dan bugnya",aneh nih game udah sistem matchmakingnya gajelas ngasih tim imbang bugnya tambah jaring lag pliss montoon baik sistem jaring matchmaking bugnya,1,negative
Untuk game nya baguss banget ..tapi tolonglah..kenapa pas main tuh jaringannya ngeleg banget...saya sampai frustasi..ketika saya keluar game jaringannya biasa aja bahkan lancar aja..tapi pais masuk lagi malah sampai gak bisa gerak gara gara merah terus..tolonglah perbaiki..thanks,game nya baguss banget tolonglahkenapa pas main tuh jaring ngeleg bangetsaya frustasiketika game jaring aja lancar ajatapi pais masuk gak gerak gara gara merah terustolonglah perbaikithanks,2,negative
"rada kecewa sama mobile legends , makin ke sini tambah banyak problem : kayak data ml hilang tiba² , sering ngestuck di loading scren , suara game suka hilang tiba², jaringan jumping terus , tolong lah moonton di perbaiki problem nya kami sebagai player merasa gk enak banyak akan adanya problem tersebut lebih lebih data yg sering tiba² ilang kayak punya ku dan juga temen ku note : seimbangkan lah antara kedua team jangan setiap main di kasih nya orang² tolol semua ngapa sih -_-",rada kecewa mobile legends problem kayak data hilang ngestuck loading scren suara game suka hilang jaring jumping tolong moonton baik problem nya player enak problem data ilang kayak temen note imbang team main kasih nya orang tolol ngapa sih,3,neutral
"Tolong perbaiki bug data mlbb yang dari 7 GB tiba-tiba hilang jadi 1 GB lalu tampilan heronya jadi bola biru, tolong perbaiki masalah ini karena saya sangat senang bermain game mlbb ini, saya baru saja beli hp baru tidak mungkin HP saya yg bermasalah, hp saya infinix hot 12i tidak mungkin tidak bisa menyimpan data mlbb. Sekian saya sangat minta tolong perbaiki bug ini.",tolong baik bug data mlbb tibatiba hilang tampil hero bola biru tolong baik senang main game mlbb beli masalah infinix hot simpan data mlbb sekian tolong baik bug,4,positive
"Satu hal yg banyak org lain alami yaitu tentang ketidak nyamanan jaringan yg padahal bagus tpi pas di gunakan untuk main game mobile legend kok jdi gak baik jaringan ny lag-lag sampai parah lagi, kadang bisa emosi sendiri gua, musuh sekarat malah gua yg mati karena lag... TOLONG PERHATIKAN KONDISI FITUR UNTUK MEMPERKUAT JARINGAN NYA AGAR PEMAIN LAIN SMKIN GAIRAH LAGI UNTUK MEMAINKAN GAME INI!!! Selabih ny yg lain bnyk yg sudah menceritakan keluhan mereka tolong dan mohon di perbaiki. Berjaya.",org alami tidak nyaman jaring bagus tpi pas main game mobile legend jdi gak jaring laglag parah kadang emosi gua musuh sekarat gua mati lag tolong perhati kondisi fitur kuat jaring nya main smkin gairah main game selabih bnyk cerita keluh tolong mohon baik jaya,3,neutral
Min tolong perbaikan bug atau cit ini .saat saya main renk kan pas di loby nya aman Aman aja pas di loding game nya pas 7 persen terus kembali ke layar awal dan saya coba login lagi siapa tau hp saya yg kentang kan min . Tapi pas 7 persen pas di loding game nya itu keluar sendiri lagi saya coba sampai 5 kali tetap gak bisa dan akhirnya saya pasrah dan besoknya saya login dan main lagi itu bisa minn dan akibatnya sekor kredit nya jadi berkurang dan gak bisa main renk minn tolong di benerin yaaaaa,min tolong baik bug cit main renk pas loby nya aman aman aja pas loding game nya pas persen layar coba login tau kentang min pas persen pas loding game nya coba kali gak pasrah besok login main minn akibat kor kredit nya kurang gak main renk minn tolong benerin yaaaaa,3,neutral
Pantas saja game di hpku ram 2gb nggak bisa dimainin. Jaringan atau sinyal yg saya mainin tambah ngelag saat karakter lagi jalan dan serang musuh. sampai sampai defeat. Ditambah lagi karakter musuh tiba tiba hilang dan muncul lagi TOLONG PERBAIKI DEVELOPER ATAS JARINGAN DI GAME INI DARI HP RAM 2GB.,game hpku ram nggak dimainin jaring sinyal mainin ngelag karakter jalan serang musuh defeat tambah karakter musuh hilang muncul tolong baik developer jaring game ram,3,neutral
Ada bug di bagian squad hadiah keaktifan squad terkadang salah satu dari hadiah itu tidak dapat padahal di keterangan disitu hanya turtulis di bawah 100 tidak akan mendapatkan hadiah tapi bagaimana untuk yang sudah 3000+ point ke aktifan dari setiap anggota itu sendiri?? Tolong cepat di perbaik Yang di luar pertandingan juga dong jangan yang di dalam pertandingan dari bug hero saja .,bug squad hadiah aktif squad terkadang salah hadiah terang situ turtulis hadiah point aktif anggota tolong cepat baik tanding tanding bug hero,2,negative
